Date,Open,High,Low,Close,Volume,Change
2020-01-16,48972,49323,48912,49008,13348,
2020-01-17,49186,49548,48824,48877,6601,-0.0026730329742082892
2020-01-20,48574,48671,48505,48665,134,-0.004337418417660666
2020-01-21,48584,49152,48584,49155,8,0.010068837973903122
2020-01-22,48878,48878,48799,48803,3,-0.007161021259281863
2020-01-23,48882,49015,48882,48974,6,0.003503882958014959
2020-01-28,49716,49716,49548,49620,116,0.013190672601788744
2020-01-29,49358,49692,49358,49693,14,0.0014711809754131
2020-01-30,49853,50078,49853,50081,23,0.007807940756243248
2020-01-31,49828,49873,49740,49874,88,-0.004133304047443165
2020-02-03,50176,50176,49988,49993,208,0.002386012752135347
2020-02-04,49793,49793,49377,49469,309,-0.010481467405436762
2020-02-05,49309,49657,49309,49582,193,0.0022842588287614873
2020-02-06,49472,49587,49353,49356,8,-0.00455810576418858
2020-02-07,49563,49735,49563,49693,394,0.006827943917659507
2020-02-10,49773,49848,49572,49679,100,-0.00028172982110152844
2020-02-11,49750,49750,49592,49597,134,-0.0016505968316592456
2020-02-12,49657,49657,49568,49572,337,-0.0005040627457305602
2020-02-13,49657,49657,49602,49611,42,0.0007867344468650561
2020-02-14,49558,49582,49216,49249,242,-0.007296768861744352
2020-02-17,49191,49548,49191,49552,359,0.006152409185973262
2020-02-18,49533,50028,49533,50032,283,0.009686793671294769
2020-02-19,49897,50249,49657,49988,3906,-0.0008794371602174333
2020-02-20,50083,50381,50083,50306,241,0.006361526766423875
2020-02-21,50317,50817,50298,50821,214,0.010237347433705635
2020-02-24,51106,51248,51043,51050,1470,0.004506011294543644
2020-02-25,51198,51198,50842,51104,1052,0.0010577864838394735
2020-02-26,51208,51390,51159,51323,606,0.0042853788353163225
2020-02-27,51218,51253,50812,50817,928,-0.009859127486701813
2020-02-28,50902,51550,50902,51555,1165,0.014522699096758851
2020-03-02,52066,52163,51293,51323,1177,-0.004500048491901887
2020-03-03,50963,51293,50963,51294,614,-0.0005650488085263694
2020-03-04,51837,51866,51674,51676,2318,0.007447264787304508
2020-03-05,51346,51555,51298,51343,1677,-0.006443997213406605
2020-03-06,51637,51785,51258,51261,12761,-0.0015971018444578267
2020-03-09,51869,52183,51537,51985,863,0.014123797819004746
2020-03-10,51926,51945,51642,51727,585,-0.00496297008752522
2020-03-11,51532,51820,51144,51507,807,-0.004253097995244315
2020-03-12,51071,51357,51037,51261,540,-0.004776049857300957
2020-03-13,50589,50589,49162,49754,6646,-0.02939856811221009
2020-03-16,49945,50820,49910,50410,6316,0.013184869558226398
2020-03-17,50166,50539,50007,50483,176,0.0014481253719500486
2020-03-18,50525,50905,50525,50606,762,0.0024364637600775563
2020-03-19,50092,50092,48523,48917,977,-0.03337548907244203
2020-03-20,49644,49714,49246,49715,71,0.016313347098145803
2020-03-23,48817,48817,48345,48412,165,-0.02620939354319618
