Date,Open,High,Low,Close,Volume,Change
2021-05-17,47250,47500,40800,41150,2159610,
2021-05-18,41600,42750,40900,41900,453603,0.018226002430133725
2021-05-20,41500,42300,40950,41100,246938,-0.019093078758949833
2021-05-21,41100,41800,39900,39900,214045,-0.029197080291970767
2021-05-24,39900,39950,38500,38500,131476,-0.03508771929824561
2021-05-25,38750,39400,38200,38400,86834,-0.0025974025974025983
2021-05-26,38600,44300,38450,42650,553973,0.11067708333333326
2021-05-27,42700,52900,41600,46650,1889212,0.09378663540445475
2021-05-28,47550,48800,46000,48000,366244,0.02893890675241151
2021-05-31,48000,49400,46700,46850,186506,-0.023958333333333304
2021-06-01,47150,51100,46700,50800,359086,0.0843116328708644
2021-06-02,50700,55400,48950,52700,474224,0.03740157480314954
2021-06-03,52600,53700,50100,50300,148498,-0.04554079696394686
2021-06-04,48450,48750,46700,47250,291563,-0.060636182902584546
2021-06-07,46750,46750,44350,45250,137377,-0.042328042328042326
2021-06-08,45600,47750,44850,47350,115033,0.04640883977900545
2021-06-09,47050,47950,45000,45800,88981,-0.032734952481520585
2021-06-10,45800,46550,45100,45300,72234,-0.01091703056768556
2021-06-11,46000,46000,43950,44150,66825,-0.025386313465783683
2021-06-14,44600,45400,44050,45250,35077,0.02491506228765572
2021-06-15,45400,45450,44200,45100,52929,-0.0033149171270717703
2021-06-16,45250,47100,44950,46800,106899,0.037694013303769314
2021-06-17,46850,48500,46100,48000,97608,0.02564102564102555
2021-06-18,47600,48700,47500,47900,54895,-0.002083333333333326
2021-06-21,47800,47800,46100,46500,43520,-0.029227557411273475
2021-06-22,47250,49750,46200,49350,115546,0.06129032258064515
2021-06-23,49500,49500,47150,47800,114771,-0.0314083080040527
2021-06-24,47350,47500,46300,46650,40948,-0.024058577405857706
2021-06-25,46700,47550,46650,46650,24768,0.0
2021-06-28,46450,46900,45850,46350,23156,-0.006430868167202619
2021-06-29,46350,46700,45800,45850,22536,-0.010787486515641875
2021-06-30,46650,46800,45850,45900,25561,0.0010905125408942062
2021-07-01,46000,46700,46000,46050,18381,0.0032679738562091387
2021-07-02,46050,46550,45500,45700,27696,-0.007600434310532034
2021-07-05,45800,47000,45600,46900,26852,0.026258205689277947
2021-07-06,47100,47100,46500,46550,13508,-0.007462686567164201
2021-07-07,46100,46350,44400,45150,67126,-0.03007518796992481
2021-07-08,45350,45500,44500,44650,23259,-0.011074197120708784
2021-07-09,44450,44450,41850,42500,80652,-0.04815229563269874
2021-07-12,42700,43700,42700,43150,14642,0.015294117647058902
2021-07-13,43150,44150,43000,43950,28684,0.018539976825028948
2021-07-14,43950,43950,42100,42800,41604,-0.026166097838452806
2021-07-15,42800,43250,40800,42900,13467,0.002336448598130758
2021-07-16,42600,42950,42100,42300,20516,-0.013986013986013957
2021-07-19,42050,42100,41200,41500,23400,-0.01891252955082745
2021-07-20,41000,41450,40200,41200,45341,-0.0072289156626506035
2021-07-21,41700,41750,41150,41250,16605,0.0012135922330096527
2021-07-22,41500,43500,41500,43050,40892,0.043636363636363695
2021-07-23,43050,44200,42800,43500,34419,0.010452961672473782
2021-07-26,43300,43450,42250,42250,14156,-0.028735632183908066
2021-07-27,42200,43550,42100,43000,9655,0.01775147928994092
2021-07-28,42600,43500,42350,42750,12522,-0.005813953488372103
2021-07-29,43300,44550,42900,43150,36001,0.009356725146198785
2021-07-30,43600,44350,42950,44050,20187,0.02085747392815751
2021-08-02,44350,45000,43350,43750,23125,-0.006810442678774176
2021-08-03,44000,44000,43000,43650,12179,-0.0022857142857143353
