Date,Open,High,Low,Close,Volume,Change
2020-12-24,9978,9983,9933,9949,14476,
2020-12-28,10003,10003,9948,9959,5309,0.0010051261433310366
2020-12-29,10048,10048,10003,10023,1520,0.0064263480269102224
2020-12-30,10033,10122,9864,9899,5158,-0.012371545445475363
2021-01-04,9928,9933,9893,9914,4145,0.0015153045762197337
2021-01-05,9814,9819,9784,9814,2564,-0.010086746015735337
2021-01-06,9918,9938,9844,9864,9766,0.005094762584063606
2021-01-07,9953,10003,9893,9989,1308,0.012672343876723335
2021-01-08,10187,10257,10142,10203,2327,0.02142356592251482
2021-01-11,10098,10117,10053,10073,3412,-0.012741350583161837
2021-01-12,10073,10088,10028,10088,1424,0.0014891293557033336
2021-01-13,10078,10098,10063,10098,845,0.0009912767644726372
2021-01-14,10112,10157,10107,10143,2590,0.004456327985739694
2021-01-15,10078,10078,10008,10038,1007,-0.010351966873705987
2021-01-18,10028,10028,9983,10023,2010,-0.0014943215780035546
2021-01-19,10177,10177,10122,10178,2529,0.015464431806844203
2021-01-20,10351,10351,10152,10163,2104,-0.00147376694831991
2021-01-21,10207,10242,10152,10217,9495,0.005313391715044746
2021-01-22,10093,10117,10068,10098,1379,-0.011647254575707144
2021-01-25,10098,10107,10083,10098,1491,0.0
2021-01-26,10137,10137,10088,10123,10068,0.002475737769855435
2021-01-27,10142,10192,10132,10178,1350,0.00543317198458948
2021-01-28,9993,10098,9968,10083,1866,-0.00933385733935943
2021-01-29,10277,10282,9804,10217,15703,0.01328969552712489
2021-02-01,10003,10103,9978,10083,3585,-0.013115395908779526
2021-02-02,10257,10267,10192,10227,16769,0.014281463850044585
2021-02-03,10232,10232,10172,10227,383,0.0
2021-02-04,10073,10127,10073,10113,563,-0.0111469639190378
2021-02-05,10207,10302,10207,10302,536,0.018688816374963002
2021-02-08,10277,10277,10257,10277,1055,-0.0024267132595612306
2021-02-09,10312,10312,10242,10307,324,0.002919139826797812
2021-02-10,10232,10262,10192,10217,1592,-0.008731929756476187
2021-02-15,10242,10252,10202,10242,1143,0.0024469022217872283
2021-02-16,10177,10177,10142,10173,1940,-0.0067369654364382026
2021-02-17,10127,10167,10098,10143,523,-0.0029489826010026254
2021-02-18,10112,10112,10038,10108,925,-0.0034506556245686992
2021-02-19,10107,10132,10063,10123,868,0.0014839730906213155
2021-02-22,10122,10142,10088,10143,183,0.001975698903487144
2021-02-23,10038,10068,10003,10058,1327,-0.008380163659666762
2021-02-24,10028,10073,10013,10063,10540,0.0004971167230065632
2021-02-25,10127,10197,10127,10153,589,0.008943654973665893
2021-02-26,9933,9983,9893,9974,984,-0.01763025706687682
2021-03-02,10152,10252,10142,10232,16573,0.025867254862642852
2021-03-03,9864,10033,9864,10018,5143,-0.020914777169663834
2021-03-04,9928,9943,9854,9919,43015,-0.00988221201836692
2021-03-05,9854,9908,9844,9854,451,-0.006553079947575369
2021-03-08,10078,10132,10063,10133,4925,0.028313375279074515
2021-03-09,10192,10252,10192,10252,780,0.011743807362084357
2021-03-10,10361,10451,10361,10407,686,0.015119001170503354
2021-03-11,10287,10391,10282,10387,4257,-0.0019217834150091484
2021-03-12,10451,10491,10451,10451,310,0.006161548088957414
2021-03-15,10416,10431,10351,10392,722,-0.005645392785379344
2021-03-16,10461,10476,10406,10427,868,0.0033679753656659095
2021-03-17,10451,10481,10431,10431,1270,0.00038361944950615623
2021-03-18,10401,10481,10401,10446,1067,0.001438021282714974
2021-03-19,10312,10331,10277,10287,1327,-0.0152211372774268
2021-03-22,10341,10396,10341,10382,80,0.009234956741518419
2021-03-23,10476,10476,10446,10466,1593,0.008090926603737225
2021-03-24,10411,10476,10411,10456,291,-0.0009554748710108862
2021-03-25,10451,10506,10446,10501,669,0.004303749043611305
2021-03-26,10590,10600,10550,10561,192,0.005713741548423856
2021-03-29,10660,10715,10640,10710,2339,0.014108512451472377
2021-03-30,10769,10824,10705,10810,1975,0.00933706816059754
2021-03-31,10829,10829,10764,10770,613,-0.0037002775208140326
2021-04-01,10715,10794,10710,10740,266,-0.0027855153203342198
2021-04-02,10759,10774,10675,10745,1173,0.0004655493482308426
2021-04-05,10745,10745,10660,10715,1100,-0.0027919962773382823
2021-04-06,10720,10794,10700,10710,926,-0.00046663555762949116
2021-04-07,10720,10720,10630,10680,563,-0.0028011204481792618
2021-04-08,10700,10774,10700,10760,448,0.0074906367041198685
2021-04-09,10665,10774,10660,10775,731,0.0013940520446096283
2021-04-12,10769,10804,10700,10800,698,0.002320185614849146
2021-04-13,10789,10804,10779,10800,294,0.0
2021-04-14,10769,10849,10769,10795,883,-0.0004629629629629983
2021-04-15,10720,10745,10720,10745,443,-0.004631773969430264
2021-04-16,10804,10874,10804,10835,1576,0.008375988832014958
2021-04-19,10889,10914,10834,10889,120,0.004983848638671073
2021-04-20,10864,10864,10799,10835,698,-0.004959133070070676
2021-04-21,10884,10904,10794,10904,1656,0.006368251038301853
2021-04-22,10949,11033,10949,11034,480,0.011922230374174614
2021-04-23,10944,10959,10919,10919,828,-0.010422330976980199
2021-04-26,10914,10998,10904,10909,737,-0.0009158347834050673
2021-04-27,10849,10874,10829,10855,543,-0.004950041250343706
2021-04-28,10769,10774,10750,10750,561,-0.009672961768770194
2021-04-29,10775,10775,10675,10765,859,0.0013953488372093759
2021-04-30,10800,10800,10765,10790,346,0.0023223409196471145
2021-05-03,10885,10890,10800,10880,264,0.008341056533827551
2021-05-04,11035,11035,10900,11035,617,0.014246323529411686
2021-05-06,11095,11100,11010,11100,315,0.005890348889895813
2021-05-07,11105,11235,11105,11160,2200,0.00540540540540535
2021-05-10,11160,11235,11120,11175,1545,0.0013440860215054862
2021-05-11,11190,11235,11120,11235,1035,0.005369127516778427
2021-05-12,11150,11180,11055,11160,308,-0.006675567423230944
2021-05-13,11005,11005,10915,10980,1319,-0.016129032258064502
2021-05-14,11185,11230,11120,11220,1493,0.021857923497267784
2021-05-17,11220,11245,11210,11245,446,0.002228163992869847
2021-05-18,11220,11270,11190,11215,1753,-0.002667852378835045
2021-05-20,11000,11070,11000,11050,635,-0.01471243869817207
2021-05-21,11090,11180,11085,11170,627,0.010859728506787292
2021-05-24,11165,11210,11110,11185,554,0.0013428827215755668
2021-05-25,11195,11195,11165,11165,675,-0.0017881090746535433
2021-05-26,11050,11070,11010,11015,1048,-0.013434841021047972
2021-05-27,11015,11020,10935,11000,339,-0.001361779391738538
2021-05-28,11005,11005,10950,10955,1559,-0.004090909090909145
2021-05-31,10955,10970,10905,10945,1520,-0.0009128251939753973
2021-06-01,10925,10925,10870,10900,476,-0.004111466423024179
2021-06-02,10880,10925,10880,10925,587,0.002293577981651307
2021-06-03,10970,10970,10925,10955,995,0.0027459954233408634
2021-06-04,10955,10995,10910,10980,667,0.0022820629849384932
2021-06-07,10980,11020,10970,11020,485,0.0036429872495447047
2021-06-08,10990,11035,10990,11025,5202,0.00045372050816694376
2021-06-09,10965,10970,10885,10945,2019,-0.007256235827664437
2021-06-10,10895,10895,10820,10880,2135,-0.00593878483325716
2021-06-11,10990,10990,10890,10975,240,0.008731617647058876
2021-06-14,10985,11090,10985,11090,672,0.010478359908883794
2021-06-15,11035,11080,11035,11050,812,-0.0036068530207393756
2021-06-16,11010,11010,10985,10995,712,-0.004977375565610842
2021-06-17,10965,11000,10960,11000,1022,0.0004547521600728466
2021-06-18,11500,11500,10925,11055,414,0.004999999999999893
2021-06-21,10900,10900,10840,10895,1255,-0.014473089099954817
2021-06-22,11030,11040,10980,11030,2358,0.012391005048187242
2021-06-23,11005,11130,11000,11070,2196,0.0036264732547597323
2021-06-24,10920,11000,10920,10970,400,-0.009033423667569984
2021-06-25,10970,10970,10940,10940,529,-0.0027347310847766204
2021-06-28,10940,11035,10940,11030,4963,0.00822669104204743
2021-06-29,11035,11095,11030,11085,586,0.00498640072529466
2021-06-30,11070,11070,10985,11020,562,-0.0058637798827243515
2021-07-01,11020,11065,10960,11060,2250,0.003629764065335772
2021-07-02,11090,11165,11090,11155,2488,0.008589511754068635
2021-07-05,11185,11185,11120,11175,229,0.0017929179740026058
2021-07-06,11170,11170,11135,11135,835,-0.0035794183445190253
2021-07-07,11135,11185,11115,11130,1061,-0.00044903457566236593
2021-07-08,11205,11300,11205,11270,634,0.012578616352201255
2021-07-09,11305,11305,11200,11270,1133,0.0
2021-07-12,11365,11365,11295,11360,280,0.007985803016858917
2021-07-13,11380,11380,11280,11280,761,-0.007042253521126751
2021-07-14,11280,11330,11280,11300,537,0.0017730496453900457
2021-07-15,11330,11330,11260,11280,1179,-0.001769911504424737
2021-07-16,11360,11360,11275,11350,199,0.00620567375886516
2021-07-19,11385,11430,11305,11430,3191,0.007048458149779835
2021-07-20,11380,11385,11355,11370,2612,-0.005249343832021025
2021-07-21,11435,11500,11435,11470,569,0.008795074758135346
2021-07-22,11425,11440,11385,11420,708,-0.0043591979075849885
2021-07-23,11490,11490,11415,11435,445,0.0013134851138354442
2021-07-26,11495,11575,11495,11540,824,0.009182334936598258
2021-07-27,11585,11585,11480,11545,2708,0.0004332755632583396
2021-07-28,11600,11620,11600,11610,431,0.005630142919012648
2021-07-29,11620,11620,11530,11580,820,-0.0025839793281653423
2021-07-30,11585,11585,11475,11570,382,-0.0008635578583765513
2021-08-02,11535,11560,11505,11540,386,-0.002592912705272288
2021-08-03,11600,11600,11540,11580,430,0.0034662045060658286
