Date,Open,High,Low,Close,Volume,Change
2013-05-22,84156,84160,84071,84098,2002,
2013-05-23,83917,84067,83917,84082,973,-0.0001902542272110841
2013-05-24,84067,84067,84067,84082,1000,0.0
2013-05-27,84132,84132,84132,84145,100532,0.0007492685711567582
2013-05-28,84078,84078,84078,84095,1000,-0.0005942123715015901
2013-05-29,83945,83945,83891,83907,23010,-0.0022355669183661275
2013-05-30,83855,83855,83855,83872,1000,-0.0004171284874920911
2013-05-31,83770,83770,83770,83780,100200,-0.0010969095764975512
2013-06-03,83770,83770,83770,83780,0,0.0
2013-06-04,83743,83743,83743,83752,1,-0.00033420864168054454
2013-06-05,83712,83716,83674,83704,24,-0.0005731206418950752
2013-06-07,83706,83706,83706,83723,499,0.00022699034693673958
2013-06-10,83664,83664,83627,83642,7,-0.0009674760818413342
2013-06-11,83722,83722,83722,83737,0,0.0011357930226441049
2013-06-12,83593,83593,83593,83608,0,-0.0015405376356927292
2013-06-13,83482,83588,83482,83598,2132,-0.0001196057793512173
2013-06-14,83762,83762,83762,83770,0,0.0020574654896050593
2013-06-17,83752,83752,83752,83761,0,-0.00010743702996296456
2013-06-18,83757,83757,83757,83766,1000,5.969365217706191e-05
2013-06-19,83771,83771,83771,83781,28,0.0001790702671728983
2013-06-20,83411,83411,83411,83429,0,-0.004201429918477939
2013-06-21,83338,83338,83334,83344,3000,-0.001018830382720659
2013-06-24,82977,82977,82977,82991,0,-0.004235457861393788
2013-06-25,83173,83173,83173,83190,0,0.002397850369317167
2013-06-26,83173,83253,83173,83213,10002,0.00027647553792520263
2013-06-27,83399,83399,83399,83413,0,0.0024034706115632076
2013-06-28,83560,83579,83555,83590,4000,0.0021219713953459785
2013-07-01,83334,83334,83334,83344,0,-0.00294293575786575
2013-07-02,83482,83482,83482,83499,2000,0.0018597619504703289
2013-07-03,83385,83385,83385,83400,0,-0.001185642941831655
2013-07-04,83420,83420,83420,83436,0,0.0004316546762590523
2013-07-05,83431,83431,83431,83445,2000,0.00010786710772325847
2013-07-08,83100,83113,83100,83126,10000,-0.0038228773443585995
2013-07-09,83113,83113,83113,83126,0,0.0
2013-07-10,83431,83455,83431,83471,1000,0.004150326011115757
2013-07-11,83658,83658,83658,83676,500,0.002455942782523257
