Date,Open,High,Low,Close,Volume,Change
2021-04-09,9835,9835,9835,9835,1,
2021-04-12,9780,9780,9780,9780,1,-0.005592272496187101
2021-04-13,9705,9705,9705,9705,0,-0.0076687116564416735
2021-04-14,9755,9755,9755,9755,0,0.005151983513652647
2021-04-15,9675,9675,9675,9675,0,-0.008200922603792904
2021-04-16,9810,9810,9810,9810,0,0.013953488372093092
2021-04-19,9875,9875,9875,9875,0,0.006625891946992812
2021-04-20,9860,9860,9860,9860,5,-0.0015189873417721378
2021-04-21,9725,9725,9725,9725,0,-0.01369168356997974
2021-04-22,9725,9760,9715,9760,12,0.0035989717223650075
2021-04-23,9830,9830,9830,9830,0,0.0071721311475410054
2021-04-26,9830,9830,9830,9830,0,0.0
2021-04-27,9815,9815,9815,9815,0,-0.0015259409969481386
2021-04-28,9810,9810,9810,9810,0,-0.0005094243504839557
2021-04-29,9915,9915,9915,9915,5,0.010703363914372988
2021-04-30,9685,9685,9685,9685,0,-0.023197175995965713
2021-05-03,9670,9670,9525,9525,14,-0.01652039235931857
2021-05-04,9615,9615,9615,9615,0,0.009448818897637823
2021-05-06,9610,9610,9610,9610,1,-0.0005200208008320217
2021-05-07,9630,9630,9630,9630,26,0.0020811654526535772
2021-05-10,9490,9490,9490,9490,0,-0.014537902388369717
2021-05-11,9320,9320,9320,9320,0,-0.017913593256059013
2021-05-12,9410,9410,9410,9410,0,0.00965665236051505
2021-05-13,9310,9310,9310,9310,0,-0.01062699256110522
2021-05-14,9285,9285,9285,9285,0,-0.0026852846401718145
2021-05-17,9370,9370,9370,9370,100,0.009154550350026991
2021-05-18,9485,9485,9485,9485,100,0.01227321237993606
2021-05-20,9530,9530,9530,9530,0,0.004744333157617353
2021-05-21,9560,9560,9560,9560,0,0.0031479538300105414
2021-05-24,9510,9510,9510,9510,0,-0.005230125523012608
2021-05-25,9640,9640,9640,9640,0,0.013669821240799074
2021-05-26,9690,9690,9690,9690,1,0.005186721991701226
2021-05-27,9700,9700,9700,9700,0,0.0010319917440659854
2021-05-28,9720,9725,9655,9655,371,-0.004639175257731942
2021-05-31,9695,9695,9695,9695,100,0.004142931123770177
2021-06-01,9835,9865,9835,9865,61,0.01753481175863847
2021-06-02,9815,9815,9815,9815,0,-0.005068423720222981
2021-06-03,9850,9850,9785,9790,400,-0.0025471217524197787
2021-06-04,9680,9680,9680,9680,0,-0.011235955056179803
2021-06-07,9640,9640,9640,9640,0,-0.004132231404958664
2021-06-08,9600,9600,9600,9600,0,-0.004149377593360981
2021-06-09,9605,9605,9605,9605,0,0.0005208333333333037
2021-06-10,9630,9630,9630,9630,0,0.0026028110359188616
2021-06-11,9680,9680,9680,9680,0,0.005192107995846351
2021-06-14,9680,9680,9680,9680,0,0.0
2021-06-15,9575,9575,9575,9575,0,-0.010847107438016534
2021-06-16,9530,9530,9530,9530,1,-0.004699738903394257
2021-06-17,9475,9475,9475,9475,0,-0.005771248688352548
2021-06-18,9560,9560,9560,9560,1,0.008970976253298124
2021-06-21,9460,9460,9460,9460,1,-0.010460251046025104
2021-06-22,9440,9445,9420,9420,600,-0.0042283298097252064
2021-06-23,9560,9560,9560,9560,0,0.014861995753715496
2021-06-24,9630,9630,9630,9630,0,0.007322175732217495
2021-06-25,9775,9775,9775,9775,0,0.015057113187954219
2021-06-28,9770,9770,9770,9770,0,-0.000511508951406614
2021-06-29,9690,9690,9690,9690,0,-0.008188331627430934
2021-06-30,9640,9640,9640,9640,0,-0.00515995872033026
2021-07-01,9640,9640,9640,9640,0,0.0
2021-07-02,9430,9430,9395,9400,404,-0.024896265560165998
2021-07-05,9345,9345,9275,9295,703,-0.011170212765957421
2021-07-06,9255,9280,9200,9225,397,-0.007530930607853703
2021-07-07,9190,9190,9150,9150,300,-0.008130081300813052
2021-07-08,9170,9170,8945,8960,1708,-0.020765027322404372
2021-07-09,8930,9005,8850,9005,58,0.005022321428571397
2021-07-12,9185,9185,9025,9025,3701,0.002220988339811214
2021-07-13,9120,9170,9120,9170,2,0.016066481994459814
2021-07-14,9170,9170,9170,9170,10,0.0
2021-07-15,9255,9255,9255,9255,0,0.009269356597600975
2021-07-16,9245,9245,9245,9245,0,-0.0010804970286332205
2021-07-19,9060,9060,9015,9015,4,-0.02487831260140616
2021-07-20,8920,8920,8920,8920,1,-0.010537992235163607
2021-07-21,8965,8965,8965,8965,1,0.0050448430493272856
2021-07-22,9015,9015,9015,9015,50,0.00557724484104849
2021-07-23,9015,9015,9015,9015,50,0.0
2021-07-26,8710,8710,8545,8545,11,-0.052135330005546265
2021-07-27,8450,8450,8235,8235,20,-0.036278525453481536
2021-07-28,8175,8325,8060,8145,2565,-0.010928961748633892
2021-07-29,8635,8635,8555,8555,9,0.05033763044812778
2021-07-30,8430,8430,8250,8250,72,-0.035651665692577494
2021-08-02,8405,8470,8295,8470,216,0.026666666666666616
2021-08-03,8470,8470,8470,8470,0,0.0
