Date,Open,High,Low,Close,Volume,Change
2021-05-26,99735,100015,99725,99725,3086,
2021-05-27,100320,100335,99745,100335,42,0.006116821258460803
2021-05-28,99785,99785,99195,99765,165,-0.0056809687546718335
2021-05-31,99345,99345,98775,98775,113,-0.009923319801533603
2021-06-01,98965,99550,98695,99550,45,0.007846114907618329
2021-06-02,99065,99240,98770,99045,37,-0.005072827724761475
2021-06-03,99220,99220,98925,99220,103,0.0017668736432934207
2021-06-04,98585,99990,98585,99705,48,0.004888127393670727
2021-06-07,100660,100660,100070,100375,7,0.006719823479263809
2021-06-08,100670,100960,100670,100900,32,0.00523038605230397
2021-06-09,100925,102190,100925,101900,170,0.009910802775024763
2021-06-10,102190,102740,101885,102190,208,0.0028459273797840634
2021-06-11,102455,102470,99735,101870,49,-0.0031314218612388256
2021-06-14,102620,102620,102035,102325,40,0.0044664768823010625
2021-06-15,101545,103305,101545,103305,53,0.009577327143904135
2021-06-16,103420,103420,102550,103420,70,0.0011132084603842074
2021-06-17,102485,103665,102485,103370,17,-0.0004834654805646599
2021-06-18,103770,104500,103755,104365,25,0.009625616716648855
2021-06-21,104585,106095,104585,105790,203,0.013654002778709318
2021-06-22,104130,104130,103535,103535,49,-0.021315814349182394
2021-06-23,103535,104090,103235,103535,2235,0.0
2021-06-24,103405,103405,103110,103405,50,-0.001255614043560116
2021-06-25,102670,102670,101200,101785,230,-0.015666553841690467
2021-06-28,101430,101430,100545,101430,78,-0.0034877437736404726
2021-06-29,101295,101880,101295,101585,208,0.0015281474908803716
2021-06-30,101800,101800,101505,101800,60,0.002116454200915552
2021-07-01,101605,102785,101605,102485,43,0.006728880157170991
2021-07-02,102950,103245,102950,102950,15143,0.004537249353564032
2021-07-05,103695,103695,103105,103400,84,0.004371053909664857
2021-07-06,103405,103405,102210,102520,445,-0.008510638297872353
2021-07-07,104370,104370,103475,104360,2369,0.01794771751853297
2021-07-08,104990,105590,104990,105590,25,0.011786124952088972
2021-07-09,104940,105845,104935,105240,24,-0.0033147078321811296
2021-07-12,104480,105080,101800,105080,63,-0.0015203344735842395
2021-07-13,105150,105310,104695,105310,199,0.002188808526836672
2021-07-14,105020,106230,105020,106230,59,0.008736112429968745
2021-07-15,106710,106710,105495,105795,10,-0.004094888449590495
2021-07-16,107330,107330,105790,106110,15,0.002977456401531242
2021-07-19,106725,107000,106450,106450,98,0.003204222033738491
2021-07-20,106515,109015,106515,109015,20164,0.024095819633630722
2021-07-21,108940,109860,107975,109230,115,0.00197220565977152
2021-07-22,108665,108665,108340,108355,16,-0.00801061979309714
2021-07-23,108910,109535,108910,109220,41,0.007983018780859163
2021-07-26,109465,109465,109150,109465,84,0.002243178904962395
2021-07-27,108850,109795,108850,109795,322,0.0030146622208011564
2021-07-28,110270,110270,109310,109955,52,0.0014572612596202017
2021-07-29,109765,109765,109135,109135,222,-0.007457596289391133
2021-07-30,108710,109645,108070,109645,172,0.004673111284189346
2021-08-02,109280,109925,109280,109295,265,-0.003192120023712941
2021-08-03,109605,109915,109275,109605,200,0.002836360309254715
